tf	cell_line	fold	auc_roc	mcc	features	best_params
ATF3	HepG2	5	0.658495350803043	0.2418897234234484	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 7, 'classifier__n_estimators': 300}
ATF3	HepG2	6	0.7315541601255886	0.39581954742018827	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.2, 'classifier__max_depth': 7, 'classifier__n_estimators': 300}
ATF3	HepG2	7	0.7432677212896994	0.3854541397819925	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.2, 'classifier__max_depth': 10, 'classifier__n_estimators': 200}
ATF3	HepG2	8	0.7261200338123416	0.3119595624751105	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 50}
ATF3	HepG2	9	0.7303465765004227	0.3516695858110864	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}
ATF3	HepG2	10	0.7421808960270498	0.3419834193661058	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 300}
ATF3	K562	1	0.8458615852232874	0.5480735701591907	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}
ATF3	K562	2	0.7878770166004209	0.2647758703500668	1mer	{'classifier__learning_rate': 0.2, 'classifier__max_depth': 3, 'classifier__n_estimators': 50}
ATF3	K562	3	0.7893967734393266	0.4288644126259487	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}
ATF3	K562	4	0.8072196620583718	0.37279027153780675	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 50}
ATF3	K562	5	0.8094510403197368	0.4461016024847263	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}
ATF3	K562	6	0.7810626542847066	0.3982007068347648	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}
ATF3	K562	7	0.7874103679322909	0.353272566092953	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}
ATF3	K562	8	0.8276125543669918	0.48459321539056155	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 50}
